id,world_group,name,type,type_label,tribe
10066,L80,依神紫苑,8,破坏,"104,14,160,53,52,105,42"
10069,L80,摩多羅隠岐奈,3,回复,"14,52,126,62,26,57,159"
10085,少女祈祷中,霍青娥,8,破坏,"116,21,8,10,160,117,52,57,159,198"
10099,L80,水橋パルスィ,4,干扰,"5,99,100,52,51"
10107,A16&,エタニティラルバ,3,回复,"7,14,140,122,130,55,52,131,198"
11003,Z3,レミリア・スカーレット,3,回复,"73,5,17,4,122,52,59,57,42,45,159,95,3"
11009,L50ws,八雲紫,5,攻击,"5,179,25,213"
11010,B5,西行寺幽々子,4,干扰,"9,8,122,152,99,57,39,56,159,182,95"
11032,C3<,アリス・マーガトロイド,3,回复,"3,5,34,36,55,52,25,56,60,97,205,95"
11040,A18.5,河城にとり,8,破坏,"5,24,90,52,69,91,39,175,56"
11044,C3<,射命丸文,5,攻击,"94,92,5,142,69,52,97,205,95"
11048,A7.5&,伊吹萃香,5,攻击,"22,5,69,52,78,198"
11050,Z3,古明地さとり,2,支援,"73,3,5,98,48,52,99,100,101,57,42,60,25,95"
11087,C8≪,秦こころ,6,技巧,"14,23,16,52,223,125,95"
11103,A12&,雲居一輪,6,技巧,"5,52,33,124,123,58,67,198"
12002,F1,霧雨魔理沙,8,破坏,"1,48,36,52,55,3,56,54,175,95"
12004,Lr,フランドール・スカーレット,7,速攻,"14,5,17,4,73,122,52,59,126,45,43,60,159"
12008,A6&,小悪魔,2,支援,"5,63,17,52,59,171,58,61,25,198"
12015,B1,鈴仙・優曇華院・イナバ,5,攻击,"5,6,68,20,12,58,45,161,95"
12040,L80,河城にとり,7,速攻,"5,24,90,152,52,69,91,39,175,56"
12044,L80,射命丸文,7,速攻,"94,92,5,142,52,69"
12050,L0o,古明地さとり,4,干扰,"35,99,100,101,57,42,60,25,190"
12087,L80,秦こころ,5,攻击,"14,23,16,142,52,125"
12104,A12&,封獣ぬえ,8,破坏,"5,6,68,52,99,100,142,135,199,197,19,110,18,147,198,63"
13002,Cz1,霧雨魔理沙,7,速攻,"3,5,48,47,85,178,52,55,59,56,95,131"
13005,D8,十六夜咲夜,7,速攻,"183,41,58,176"
13007,A12.3,紅美鈴,6,技巧,"5,52,59,58,123"
13037,A19&,東風谷早苗,4,干扰,"1,14,37,38,2,52,69,88,54,124,198"
13040,C3<,河城にとり,6,技巧,"5,24,90,52,69,91,39,175,56,97,205,60,95"
13050,Cs2#,古明地さとり,2,支援,"5,98,209,99,100,101,57,42,60,25,95"
13056,C5>,ヘカーティア・ラピスラズリ,5,攻击,"14,196,113,57,44,118,95"
14006,A10.5,パチュリー・ノーレッジ,6,技巧,"5,3,52,59,57,25,60,56"
14010,R2.-5,西行寺幽々子,7,速攻,"9,8,64,65,57,56,122,159"
14015,T5,鈴仙・優曇華院・イナバ,8,破坏,"5,6,68,20,12,58,45,152,70,52,71,72,188,95"
14040,C3≧,河城にとり,2,支援,"5,24,90,225,52,69,91,39,175,95"
15004,C5>,フランドール・スカーレット,8,破坏,"5,17,4,122,196,52,59,43,73,60,45,159,44,95"
15011,L10.1,魂魄妖夢,7,速攻,"1,10,8,27,66,67,64,65,58,54,102,215"
15015,C3∫,鈴仙・優曇華院・イナバ,2,支援,"5,6,68,20,12,70,74,71,72,220,58,45,95"
15037,F1.-5,東風谷早苗,2,支援,"1,14,37,88,54,38,2,95"
15051,C5>,古明地こいし,8,破坏,"5,98,196,99,100,101,52,43,44,95"
16004,A17&,フランドール・スカーレット,3,回复,"5,17,4,122,153,52,59,43,73,60,45,159,198"
16006,L80,パチュリー・ノーレッジ,1,防御,"5,3,52,59,57,25,60,56"
16011,R8.-5,魂魄妖夢,7,速攻,"1,10,8,27,66,64,65,67,58"
16015,Cb3#,鈴仙・優曇華院・イナバ,4,干扰,"5,6,68,20,12,70,152,209,150,58,151,54,45"
16037,A15A&,東風谷早苗,6,技巧,"1,14,37,38,2,74,52,69,88,54,124,198"
16051,○○,古明地こいし,8,破坏,"35,99,100,101,43,190"
17004,D8.-5,フランドール・スカーレット,8,破坏,"183,17,4,43"
17051,S5,古明地こいし,2,支援,"5,98,49,99,100,101,211,43,95"
18005,A7A,十六夜咲夜,7,速攻,"1,52,59,41,58,54,132"
18011,Cb3#,魂魄妖夢,8,破坏,"1,10,8,27,66,152,209,150,58,67,151,45,95"
18051,C8≪,古明地こいし,7,速攻,"5,98,99,100,101,52,223,43,95"
19001,C3,博麗霊夢,7,速攻,"1,2,52,53,124,162,131,178,95"
19002,C3,霧雨魔理沙,2,支援,"1,3,52,55,48,56,131,178,95"
19003,E1,レミリア・スカーレット,2,支援,"5,17,4,122,59,57,42,45,159,95"
19005,A7B,十六夜咲夜,6,技巧,"1,52,59,41,58,54,44"
19009,A6,八雲紫,7,速攻,"5,63,179,52,57,159,62,26"
19032,A6,アリス・マーガトロイド,4,干扰,"3,5,34,36,52,55,25,56,60"
19037,F1,東風谷早苗,2,支援,"1,14,37,38,2,52,69,88,54,124,95"
19051,Cf1#,古明地こいし,6,技巧,"5,98,49,209,99,100,101,52,43,95"
20003,D8.-5,レミリア・スカーレット,6,技巧,"183,17,4,42"
20005,A9.4&,十六夜咲夜,5,攻击,"1,41,58,23,17,8,160,52,59,54,56,159,198"
21005,L10.1,十六夜咲夜,8,破坏,"1,41,52,59,58,54,102,215"
25001,L10.1,博麗霊夢,6,技巧,"1,2,162,52,53,54,124,102,215"
25002,L10.1,霧雨魔理沙,5,攻击,"1,48,36,52,55,3,56,54,175,102,215"
26001,X1$,博麗霊夢,8,破坏,"1,2,162,52,53,54,124,203"
26002,Cz1#,霧雨魔理沙,5,攻击,"3,5,48,47,85,209,52,55,59,193,56,95"
27001,Cf1#,博麗霊夢,7,速攻,"1,2,15,209,52,53,54,124,95"
27002,D8.-5,霧雨魔理沙,5,攻击,"183,3,1,67,48"
28001,F1;4,博麗霊夢,5,攻击,"1,15,124,2,52,53,54,95"
50001,AA,ゆっくりれいむ,8,破坏,"204,52,53"
50002,AA,ゆっくりまりさ,2,支援,"204,52,55"
50003,AA,ゆっくりレミリア,5,攻击,"204,52,59"
50004,AA,ゆっくりフラン,7,速攻,"204,52,59"
50011,AA,ゆっくりようむ,6,技巧,"204,52,65"
50030,AA,ゆっくりチルノ,5,攻击,"204,52,84"
50032,AA,ゆっくりアリス,2,支援,"204,52,55"
50037,AA,ゆっくりさなえ,8,破坏,"204,52,88"
51002,Az1,ゆっくりまりさ,4,干扰,"204,214,52,59"
