equipment_id,equipment_name,stats,attack_bonus_effects
10901018,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901019,和报告内容一致,速度+120 / 阴攻+120,16:6+50% / 15:4+35%
10901020,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10903001,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50% / 16:4+45%
10903002,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50% / 16:4+45%
10903003,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903004,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903005,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903006,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903007,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50% / 16:8+45%
10903008,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50% / 16:8+45%
10903009,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903010,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903011,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903012,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903013,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903014,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903015,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903016,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903017,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50% / 16:8+35%
10903018,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50% / 16:8+35%
10903019,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10903020,狩猎者与猎物,速度+200 / 阴攻+40,15:7+50%
10904041,结界异常,阳攻+120 / 阴攻+120,15:9+50% / 15:2+45%
10904042,结界异常,阳攻+120 / 阴攻+120,15:9+50% / 15:10+45%
10904043,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904044,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904045,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904046,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904047,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904048,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904049,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904050,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904051,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904052,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904053,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904054,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904055,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904056,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904057,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904058,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904059,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904060,结界异常,阳攻+120 / 阴攻+120,15:9+50%
10904061,结界异常,阳攻+120 / 阴攻+120,15:9+50% / 16:1+50%
10904062,结界异常,阳攻+120 / 阴攻+120,15:9+50% / 16:1+50%
10904063,结界异常,阳攻+120 / 阴攻+120,15:9+50% / 16:2+50%
10904064,结界异常,阳攻+120 / 阴攻+120,15:9+50% / 16:8+50%
